4,35.283336,137.19285,35.283376,137.193166
5,35.287189,137.194694,35.287158,137.194984
3,35.286157,137.195582,35.286134,137.195264
4,35.288653,137.197578,35.288756,137.197858
4,35.286771,137.198369,35.28672,137.197973
4,35.28667,137.200675,35.286356,137.200786
3,35.285,137.200167,35.285213,137.199931
5,35.285,137.195568,35.285324,137.195221
4,35.281288,137.194769,35.281361,137.194397
4,35.284321,137.19076,35.284361,137.19112
5,35.288004,137.193921,35.287842,137.194206
3,35.288773,137.194169,35.288965,137.194367
4,35.286931,137.196462,35.286719,137.196301
4,35.289794,137.194888,35.290007,137.194962
4,35.287902,137.193202,35.287933,137.19283
3,35.286526,137.192049,35.286769,137.191826
4,35.284938,137.189484,35.284877,137.189223
5,35.281659,137.192136,35.281467,137.191876
